b'Date,Open,High,Low,Close,Volume,Adj Close
2014-09-02,571.852606,577.832629,571.192593,577.332601,1578400,577.332601
2014-08-29,571.332564,572.04258,567.07155,571.602592,1083700,571.602592
2014-08-28,569.562573,573.252625,567.102579,569.202577,1292900,569.202577
2014-08-27,577.272622,578.492642,570.105566,571.002557,1703300,571.002557
2014-08-26,581.262629,581.802623,576.582619,577.862619,1639600,577.862619
2014-08-25,584.722619,585.002622,579.002647,580.202654,1361400,580.202654
2014-08-22,583.592628,585.238621,580.642643,582.562642,789000,582.562642
2014-08-21,583.822628,584.502655,581.14261,583.372664,914800,583.372664
2014-08-20,585.88266,586.702658,582.572618,584.492618,1036700,584.492618
2014-08-19,585.002622,587.342658,584.002627,586.862643,978600,586.862643
2014-08-18,576.11258,584.512631,576.002598,582.162619,1284100,582.162619
2014-08-15,577.862619,579.382595,570.522603,573.482626,1519100,573.482626
2014-08-14,576.182596,577.902645,570.882599,574.652582,985400,574.652582
2014-08-13,567.312567,575.002602,565.752564,574.782577,1439200,574.782577
2014-08-12,564.522567,565.902572,560.882518,562.732562,1542000,562.732562
2014-08-11,569.992585,570.492553,566.002578,567.882551,1214700,567.882551
2014-08-08,563.562536,570.252576,560.352561,568.772565,1494700,568.772565
2014-08-07,568.00257,569.89258,561.102543,563.362525,1110900,563.362525
2014-08-06,561.782569,570.702601,560.002541,566.376589,1334300,566.376589
2014-08-05,570.052564,571.982601,562.612543,565.072537,1551200,565.072537
2014-08-04,569.042592,575.352622,564.102531,573.152619,1427300,573.152619
2014-08-01,570.402584,575.962633,562.85252,566.072533,1955200,566.072533
2014-07-31,580.602616,583.652668,570.002561,571.602592,2102700,571.602592
2014-07-30,586.55265,589.502696,584.002627,587.42265,1016400,587.42265
2014-07-29,588.752653,589.702646,583.517654,585.612633,1349800,585.612633
2014-07-28,588.072688,592.502683,584.755668,590.602697,986800,590.602697
2014-07-25,590.402686,591.862684,587.032665,589.022681,932400,589.022681
2014-07-24,596.452725,599.502716,591.772654,593.352671,1035100,593.352671
2014-07-23,593.232713,597.852683,592.502683,595.982686,1233100,595.982686
2014-07-22,590.722655,599.652725,590.602697,594.742713,1699100,594.742713
2014-07-21,591.752702,594.40267,585.235622,589.472645,2062100,589.472645
2014-07-18,593.002712,596.802684,582.002635,595.082696,4014100,595.082696
2014-07-17,579.532604,580.992601,568.61258,573.732579,3016500,573.732579
2014-07-16,588.002671,588.402633,582.202646,582.662648,1397100,582.662648
2014-07-15,585.742628,585.807626,576.562606,584.782659,1623000,584.782659
2014-07-14,582.602608,585.212671,578.032641,584.872627,1854000,584.872627
2014-07-11,571.912585,580.85263,571.422594,579.182645,1621700,579.182645
2014-07-10,565.912548,576.592595,565.012558,571.102563,1356700,571.102563
2014-07-09,571.582578,576.72259,569.378597,576.08259,1116700,576.08259
2014-07-08,577.662607,579.530645,566.137592,571.092587,1909500,571.092587
2014-07-07,583.76265,586.432631,579.592644,582.252649,1064600,582.252649
2014-07-03,583.352651,585.01266,580.922646,584.732656,714100,584.732656
2014-07-02,583.352651,585.442672,580.392628,582.33766,1056300,582.33766
2014-07-01,578.32262,584.402649,576.652635,582.672624,1447900,582.672624
2014-06-30,578.662603,579.572631,574.752588,575.282606,1313700,575.282606
2014-06-27,577.182592,579.872648,573.802595,577.242632,2236900,577.242632
2014-06-26,581.002639,582.45266,571.852606,576.002598,1741900,576.002598
2014-06-25,565.262572,579.962616,565.222546,578.652627,1969300,578.652627
2014-06-24,565.192556,572.648612,561.012513,564.622572,2207100,564.622572
2014-06-23,555.152509,565.002582,554.252519,564.952579,1536800,564.952579
2014-06-20,556.852545,557.582513,550.394465,556.362492,4508300,556.362492
2014-06-19,554.242482,555.0025,548.512473,554.902495,2456800,554.902495
2014-06-18,544.862448,553.562516,544.002484,553.372481,1741700,553.372481
2014-06-17,544.202435,545.32245,539.33245,543.012465,1444500,543.012465
2014-06-16,549.262515,549.622511,541.522477,544.282488,1702500,544.282488
2014-06-13,552.262503,552.30253,545.562488,551.762475,1220500,551.762475
2014-06-12,557.302509,557.992512,548.46247,551.352476,1458400,551.352476
2014-06-11,558.002549,559.882522,555.022514,558.842499,1100100,558.842499
2014-06-10,560.512546,563.602563,557.902544,560.552511,1351700,560.552511
2014-06-09,557.152501,562.902523,556.042523,562.122552,1467500,562.122552
2014-06-06,558.062528,558.062528,548.932509,556.332503,1736700,556.332503
2014-06-05,546.402499,554.952498,544.452449,553.902499,1689100,553.902499
2014-06-04,541.502464,548.612478,538.752429,544.662436,1816400,544.662436
2014-06-03,550.99248,552.342495,542.552463,544.94244,1866600,544.94244
2014-06-02,560.70252,560.902531,545.732448,553.932488,1435000,553.932488
2014-05-30,560.802526,561.352557,555.912528,559.892559,1771100,559.892559
2014-05-29,563.352549,564.002525,558.712504,560.082534,1354100,560.082534
2014-05-28,564.57257,567.842585,561.002537,561.682564,1652000,561.682564
2014-05-27,556.002496,566.002578,554.352525,565.952575,2104100,565.952575
2014-05-23,547.262462,553.642508,543.702467,552.702492,1932100,552.702492
2014-05-22,541.132431,547.602506,540.782472,545.062459,1615800,545.062459
2014-05-21,532.902401,539.185441,531.912381,538.942465,1196200,538.942465
2014-05-20,529.742368,536.232457,526.302392,529.772418,1784700,529.772418
